latitude,longitude,depth_m,substrate,habitat
24.5853,-77.69438,3.20043891733723,Sand & seagrass,Back reef
24.57911,-77.69473,3.0480370641307,Sand & seagrass,Back reef
24.58516,-77.69449,3.5,Sand & seagrass,Back reef
24.58425,-77.69487,2.98707632284809,Sand & seagrass,Back reef
24.57853,-77.69482,3,Sand & seagrass,Back reef
24.58203,-77.69436,2.86515484028286,Sand & seagrass,Back reef
24.5853,-77.69487,2.52987076322848,Sand & seagrass,Back reef
24.58425,-77.69487,2.83467446964155,Sand & seagrass,Back reef
24.42619,-77.76279,3.01755669348939,Seagrass & Silt,Blue Hole
24.42609,-77.76326,2.89563521092416,Seagrass & Silt,Blue Hole
24.42657,-77.76223,2.37746891002195,Seagrass & Silt,Blue Hole
24.42647,-77.7625,3.35284077054377,Seagrass & Silt,Blue Hole
24.42678,-77.7625,3.5052426237503,Seagrass & Silt,Blue Hole
24.42619,-77.76279,3.01755669348939,Seagrass & Silt,Blue Hole
24.42609,-77.76326,3.26139965861985,Seagrass & Silt,Blue Hole
24.42657,-77.76223,1.92026335040234,Seagrass & Silt,Blue Hole
24.42647,-77.7625,4.3586930017069,Seagrass & Silt,Blue Hole
24.42678,-77.7625,4.51109485491344,Seagrass & Silt,Blue Hole
24.42722,-77.76236,3.26139965861985,Seagrass & Silt,Blue Hole
24.42707,-77.76245,4.32821263106559,Seagrass & Silt,Blue Hole
24.42657,-77.76223,3.0480370641307,Seagrass & Silt,Blue Hole
24.42647,-77.7625,3.32236039990246,Seagrass & Silt,Blue Hole
24.42678,-77.7625,4.60253596683736,Seagrass & Silt,Blue Hole
24.42722,-77.76236,3.38332114118508,Seagrass & Silt,Blue Hole
24.42707,-77.76245,4.17581077785906,Seagrass & Silt,Blue Hole
24.42657,-77.76223,3.56620336503292,Seagrass & Silt,Blue Hole
24.42647,-77.7625,3.44428188246769,Seagrass & Silt,Blue Hole
24.42678,-77.7625,5.27310412094611,Seagrass & Silt,Blue Hole
24.42722,-77.76236,4.38917337234821,Seagrass & Silt,Blue Hole
24.42707,-77.76245,4.75493782004389,Seagrass & Silt,Blue Hole
24.42657,-77.76223,3.62716410631553,Seagrass & Silt,Blue Hole
24.42647,-77.7625,3.38332114118508,Seagrass & Silt,Blue Hole
24.42678,-77.7625,4.84637893196781,Seagrass & Silt,Blue Hole
24.5105,-77.69432,61.8,Patch reef,Fore reef
24.42925,-77.69145,18.9283101682516,Sand & patch reef,Fore reef
24.43052,-77.69181,19.8732016581322,Sand & patch reef,Fore reef
24.43119,-77.69451,12.6188734455011,Sand & patch reef,Fore reef
24.42995,-77.69359,12.8627164106316,Sand & patch reef,Fore reef
24.43145,-77.69094,23.9880516947086,Sand & patch reef,Fore reef
24.43017,-77.69106,23.2565227993172,Sand & patch reef,Fore reef
24.4313,-77.69439,12.1616678858815,Sand & patch reef,Fore reef
24.43023,-77.69398,11.613021214338,Sand & patch reef,Fore reef
24.43132,-77.69102,23.6832479882955,Sand & patch reef,Fore reef
24.43089,-77.69078,27,Sand & patch reef,Fore reef
24.43136,-77.6942,11.8873445501097,Sand & patch reef,Fore reef
24.43045,-77.69393,12.4359912216533,Sand & patch reef,Fore reef
24.43188,-77.69084,26.4874420872958,Sand & patch reef,Fore reef
24.43142,-77.69095,23.3479639112412,Sand & patch reef,Fore reef
24.43218,-77.69078,22.6,Sand & patch reef,Fore reef
24.43143,-77.6909,23.2260424286759,Sand & patch reef,Fore reef
24.49809,-77.70276,3.20043891733723,Sand & patch reef,Back reef
24.49856,-77.70337,3.01755669348939,Sand & patch reef,Back reef
24.49789,-77.70437,2.04218483296757,Sand & patch reef,Back reef
24.49666,-77.70414,3.16995854669593,Sand & patch reef,Back reef
24.49531,-77.70352,3.41380151182638,Sand & patch reef,Back reef
24.49773,-77.70409,3,Sand & patch reef,Channel
24.49642,-77.70404,3,Sand & patch reef,Channel
24.49809,-77.70276,3.13947817605462,Sand & patch reef,Back reef
24.49856,-77.70337,2.98707632284809,Sand & patch reef,Back reef
24.49531,-77.70352,3.32236039990246,Sand & patch reef,Back reef
24.49789,-77.70437,2.89563521092416,Sand & patch reef,Back reef
24.4983,-77.70288,2.40794928066325,Sand & patch reef,Back reef
24.49856,-77.70337,2.98707632284809,Sand & patch reef,Back reef
24.49652,-77.70374,3.13947817605462,Sand & patch reef,Back reef
24.49531,-77.70352,3.56620336503292,Sand & patch reef,Back reef
24.49789,-77.70437,2.77371372835894,Sand & patch reef,Back reef
24.4982,-77.7028,3,Sand & patch reef,Channel
24.4983,-77.70288,2.31650816873933,Sand & patch reef,Back reef
24.49789,-77.70437,2.1945866861741,Sand & patch reef,Back reef
24.49652,-77.70374,3.10899780541331,Sand & patch reef,Back reef
24.49531,-77.70352,3.29188002926116,Sand & patch reef,Back reef
24.49386,-77.70526,2.6,Sand & seagrass,Back reef
24.4952,-77.70498,1.7,Sand & seagrass,Back reef
24.49612,-77.70404,2.9,Sand & seagrass,Back reef
24.49722,-77.70356,3.3,Sand & seagrass,Back reef
24.49848,-77.7032,2.3,Sand & seagrass,Back reef
24.4952,-77.70498,1.7,Sand & seagrass,Back reef
24.49386,-77.70526,2,Sand & seagrass,Back reef
24.4952,-77.70498,2.5,Sand & seagrass,Back reef
24.49612,-77.70404,3,Sand & seagrass,Back reef
24.49722,-77.70356,3.4,Sand & seagrass,Back reef
24.49848,-77.7032,3.2,Sand & seagrass,Back reef
24.58119,-77.69295,2.6,Sand & seagrass,Back reef
24.58258,-77.69257,2.1,Sand,Back reef
24.58382,-77.69378,2.6,Seagrass,Back reef
24.58559,-77.69372,3,Sand & seagrass,Back reef
24.58667,-77.69419,3.6,Sand,Back reef
24.58757,-77.69574,2.5,Sand,Back reef
24.58382,-77.69378,2.5,Seagrass,Back reef
24.58119,-77.69295,2.6,Sand & seagrass,Back reef
24.58258,-77.69257,2.1,Sand,Back reef
24.58559,-77.69372,3,Sand & seagrass,Back reef
24.58667,-77.69419,3.6,Sand,Back reef
24.58757,-77.69574,2.6,Sand,Back reef
24.58258,-77.69257,2,Sand,Back reef
24.58258,-77.69257,2.2,Sand,Back reef
24.58258,-77.69257,1.8,Sand,Back reef
24.58119,-77.69295,2,Sand & seagrass,Back reef
24.58559,-77.69372,2.9,Sand & seagrass,Back reef
24.58667,-77.69419,3.3,Sand,Back reef
24.58757,-77.69574,2.5,Sand,Back reef
24.58559,-77.69372,2.6,Sand & seagrass,Back reef
24.58119,-77.69295,1.8,Sand & seagrass,Back reef
24.58258,-77.69257,1.5,Sand,Back reef
24.58382,-77.69378,1.9,Seagrass,Back reef
24.58667,-77.69419,2.9,Sand,Back reef
24.58757,-77.69574,2.4,Sand,Back reef
24.58559,-77.69372,2.5,Sand & seagrass,Back reef
24.58119,-77.69295,1.8,Sand & seagrass,Back reef
24.58258,-77.69257,1.5,Sand,Back reef
24.58382,-77.69378,2.1,Seagrass,Back reef
24.58667,-77.69419,2.9,Sand,Back reef
24.58757,-77.69574,2.4,Sand,Back reef
24.58258,-77.69257,1.4,Sand,Back reef
24.58258,-77.69257,1.7,Sand,Back reef
24.58119,-77.69295,2,Sand & seagrass,Back reef
24.58382,-77.69378,2.1,Seagrass,Back reef
24.58559,-77.69372,2.5,Sand & seagrass,Back reef
24.58667,-77.69419,2.8,Sand,Back reef
24.58757,-77.69574,2.4,Sand,Back reef
24.58757,-77.69574,2.6,Sand,Back reef
24.58667,-77.69419,2.7,Sand,Back reef
24.58559,-77.69372,2.7,Sand & seagrass,Back reef
24.58382,-77.69378,2.4,Seagrass,Back reef
24.58258,-77.69257,1.5,Sand,Back reef
24.58119,-77.69295,2,Sand & seagrass,Back reef
24.68613,-77.75677,0.5,Sand,Channel
24.68893,-77.73838,3.3,Sand,Back reef
24.69207,-77.73932,3.5,Sand,Back reef
24.69219,-77.73982,3.7,Sand,Back reef
24.69356,-77.74129,3.5,Sand,Back reef
24.69578,-77.74257,1.9,Sand,Back reef
24.6969,-77.74428,1.9,Sand,Back reef
24.68893,-77.73838,3.2,Sand,Back reef
24.69207,-77.73932,3.1,Sand,Back reef
24.69219,-77.73982,2.8,Sand,Back reef
24.69356,-77.74129,1.6,Sand,Back reef
24.69578,-77.74257,1.7,Sand,Back reef
24.6969,-77.74428,1.7,Sand,Back reef
24.68893,-77.73838,2.7,Sand,Back reef
24.69207,-77.73932,2.8,Sand,Back reef
24.69219,-77.73982,2.7,Sand,Back reef
24.69356,-77.74129,1.6,Sand,Back reef
24.69578,-77.74257,1.6,Sand,Back reef
24.6969,-77.74428,1.6,Sand,Back reef
24.68613,-77.75677,0.5,Sand,Channel
24.68893,-77.73838,3.1,Sand,Back reef
24.69207,-77.73932,3,Sand,Back reef
24.69219,-77.73982,2.7,Sand,Back reef
24.69356,-77.74129,1.3,Sand,Back reef
24.69578,-77.74257,1.6,Sand,Back reef
24.6969,-77.74428,1.5,Sand,Back reef
24.68893,-77.73838,3,Sand,Back reef
24.69219,-77.73982,2.8,Sand,Back reef
24.69207,-77.73932,3.1,Sand,Back reef
24.69356,-77.74129,1.4,Sand,Back reef
24.69578,-77.74257,1.5,Sand,Back reef
24.6969,-77.74428,1.2,Sand,Back reef
24.43174,-77.69632,9.6,Sand & patch reef,Fore reef
24.43504,-77.69662,11.8,Sand & patch reef,Back reef
24.42891,-77.69539,10,Sand & patch reef,Fore reef
24.43048,-77.69565,10.9,Sand & patch reef,Fore reef
24.43654,-77.69713,10.4,Sand & patch reef,Fore reef
24.43333,-77.69637,10.3,Sand & patch reef,Fore reef
24.42891,-77.69539,8.8,Sand & patch reef,Back reef
24.43048,-77.69565,11.6,Sand & patch reef,Fore reef
24.43174,-77.69632,9.6,Sand & patch reef,Fore reef
24.43333,-77.69637,12,Sand & patch reef,Fore reef
24.43504,-77.69662,11.7,Sand & patch reef,Fore reef
24.43654,-77.69713,8.9,Sand & patch reef,Back reef
24.42891,-77.69539,8.7,Sand & patch reef,Fore reef
24.43048,-77.69565,10.9,Sand & patch reef,Fore reef
24.43174,-77.69632,8.6,Sand & patch reef,Fore reef
24.43333,-77.69637,12.1,Sand & patch reef,Fore reef
24.43504,-77.69662,11.6,Sand & patch reef,Fore reef
24.43654,-77.69713,10,Sand & patch reef,Fore reef
24.42891,-77.69539,9.3,Sand & patch reef,Fore reef
24.43048,-77.69565,10.9,Sand & patch reef,Fore reef
24.43174,-77.69632,9.1,Sand & patch reef,Fore reef
24.43333,-77.69637,12.2,Sand & patch reef,Fore reef
24.43504,-77.69662,11.8,Sand & patch reef,Back reef
24.43654,-77.69713,10.2,Sand & patch reef,Fore reef
24.43084,-77.69565,11.1,Sand & patch reef,Back reef
24.42891,-77.69539,7.8,Sand & patch reef,Fore reef
24.43174,-77.69632,9.1,Sand & patch reef,Fore reef
24.43333,-77.69637,11.4,Sand & patch reef,Fore reef
24.43504,-77.69662,11.5,Sand & patch reef,Fore reef
24.43654,-77.69713,10.2,Sand & patch reef,Fore reef
24.43504,-77.69662,13.6,Sand & patch reef,Fore reef
24.43654,-77.69713,9.9,Sand & patch reef,Fore reef
24.42891,-77.69539,8.1,Sand & patch reef,Fore reef
24.43048,-77.69565,8.9,Sand & patch reef,Fore reef
24.43174,-77.69632,8.9,Sand & patch reef,Fore reef
24.43333,-77.69637,11.8,Sand & patch reef,Fore reef
24.43333,-77.69637,11.7,Sand & patch reef,Back reef
24.42891,-77.69539,8.1,Sand & patch reef,Fore reef
24.43048,-77.69565,9.3,Sand & patch reef,Fore reef
24.43174,-77.69632,9.2,Sand & patch reef,Fore reef
24.43504,-77.69662,13.3,Sand & patch reef,Fore reef
24.43654,-77.69713,10.5,Sand & patch reef,Fore reef
24.43654,-77.69713,10.3,Sand & patch reef,Fore reef
24.43504,-77.69662,12.5,Sand & patch reef,Back reef
24.42891,-77.69539,7.5,Sand & patch reef,Back reef
24.43048,-77.69565,8.4,Sand & patch reef,Fore reef
24.43174,-77.69632,9.1,Sand & patch reef,Fore reef
24.43333,-77.69637,12.1,Sand & patch reef,Fore reef
24.58117,-77.6937,3.2,Sand & seagrass,Back reef
24.58174,-77.69353,3,Sand & seagrass,Back reef
24.58286,-77.69368,2.7,Sand & seagrass,Back reef
24.58418,-77.6939,3.1,Sand & seagrass,Back reef
24.58533,-77.69367,3.5,Sand & seagrass,Back reef
24.58628,-77.69333,3.9,Sand & seagrass,Back reef
24.58117,-77.6937,3.2,Sand & seagrass,Back reef
24.58174,-77.69353,3,Sand & seagrass,Back reef
24.58286,-77.69368,2.5,Sand & seagrass,Back reef
24.58418,-77.6939,3.2,Sand & seagrass,Back reef
24.58533,-77.69367,3.3,Sand & seagrass,Back reef
24.58628,-77.69333,4,Sand & seagrass,Back reef
24.58174,-77.69353,2.9,Sand & seagrass,Back reef
24.58117,-77.6937,2.7,Sand & seagrass,Back reef
24.58286,-77.69368,2.5,Sand & seagrass,Back reef
24.58418,-77.6939,3.2,Sand & seagrass,Back reef
24.58533,-77.69367,3.4,Sand & seagrass,Back reef
24.58628,-77.69333,3.9,Sand & seagrass,Back reef
24.58117,-77.6937,2.2,Sand & seagrass,Back reef
24.58174,-77.69353,2.6,Sand & seagrass,Back reef
24.58286,-77.69368,2.2,Sand & seagrass,Back reef
24.58418,-77.6939,3.1,Sand & seagrass,Back reef
24.58533,-77.69367,3.3,Sand & seagrass,Back reef
24.58628,-77.69333,3.8,Sand & seagrass,Back reef
24.58628,-77.69333,3.5,Sand & seagrass,Back reef
24.58117,-77.6937,2.8,Sand & seagrass,Back reef
24.58174,-77.69353,2.6,Sand & seagrass,Back reef
24.58286,-77.69368,2,Sand & seagrass,Back reef
24.58418,-77.6939,2.8,Sand & seagrass,Back reef
24.58533,-77.69367,3,Sand & seagrass,Back reef
24.58117,-77.6937,2.5,Sand & seagrass,Back reef
24.58174,-77.69353,2.3,Sand & seagrass,Back reef
24.58286,-77.69368,1.8,Sand & seagrass,Back reef
24.58418,-77.6939,2.6,Sand & seagrass,Back reef
24.58533,-77.69367,2.9,Sand & seagrass,Back reef
24.58628,-77.69333,3,Sand & seagrass,Back reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43571,-77.69467,16,Sand & patch reef,Back reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43112,-77.69735,7.7,Sand & patch reef,Back reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43112,-77.69735,8.7,Sand & patch reef,Back reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45121951219512,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.43571,-77.69467,16.2804878048781,Sand & patch reef,Fore reef
24.43407,-77.69467,15.609756097561,Sand & patch reef,Fore reef
24.43243,-77.6944,14.2073170731707,Sand & patch reef,Fore reef
24.43557,-77.69735,9.78658536585366,Sand & patch reef,Fore reef
24.43112,-77.69735,9.45,Sand & patch reef,Fore reef
24.43258,-77.69712,9.08536585365854,Sand & patch reef,Fore reef
24.57944,-77.69111,3,Sand,Back reef
24.58416,-77.69004,3,Sand,Back reef
24.58194,-77.69075,3,Sand,Back reef
24.5822,-77.69053,3,Sand,Back reef
24.57823,-77.69087,3,Sand,Back reef
24.57944,-77.69111,3,Sand,Back reef
24.58416,-77.69004,3,Sand,Back reef
24.5822,-77.69053,3,Sand,Back reef
24.58194,-77.69075,3,Sand,Back reef
24.57823,-77.69087,3,Sand,Back reef
24.57944,-77.69111,3,Sand,Back reef
24.57823,-77.69087,3,Sand,Back reef
24.58194,-77.69075,3,Sand,Back reef
24.5822,-77.69053,3,Sand,Back reef
24.58416,-77.69004,3,Sand,Back reef
24.58416,-77.69004,3,Sand,Back reef
24.5822,-77.69053,3,Sand,Back reef
24.58194,-77.69075,3,Sand,Back reef
24.57944,-77.69111,3,Sand,Back reef
24.57823,-77.69087,3,Sand,Back reef
24.58416,-77.69004,3,Sand,Back reef
24.5822,-77.69053,3,Sand,Back reef
24.58194,-77.69075,3,Sand,Back reef
24.57944,-77.69111,3,Sand,Back reef
24.57823,-77.69087,3,Sand,Back reef
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.54883,-77.63503,1100,Pelagic,Pelagic
24.4965,-77.69732,49.7,Patch reef,Fore reef
24.53355,-77.69488,3.4,Sand & seagrass,Back reef
24.53616,-77.69376,3.3,Sand & seagrass,Back reef
24.52809,-77.69783,3.4,Sand & seagrass,Back reef
24.52988,-77.69695,3,Sand & seagrass,Back reef
24.53185,-77.6962,3.2,Sand & seagrass,Back reef
24.53355,-77.69488,3,Sand & seagrass,Back reef
